location,date,total_cases,total_deaths,death_percentage
Nigeria,5/5/2023,266675,3155,1.1831
Nigeria,5/6/2020,2388,87,3.6432
Nigeria,5/6/2021,165153,2063,1.2491
Nigeria,5/6/2022,255716,3143,1.2291
Nigeria,5/6/2023,266675,3155,1.1831
Nigeria,5/7/2020,2388,87,3.6432
Nigeria,5/7/2021,165153,2063,1.2491
Nigeria,5/7/2022,255716,3143,1.2291
Nigeria,5/7/2023,266675,3155,1.1831
Nigeria,5/8/2020,2388,87,3.6432
Nigeria,5/8/2021,165153,2063,1.2491
Nigeria,5/8/2022,255766,3143,1.2289
Nigeria,5/8/2023,266675,3155,1.1831
Nigeria,5/9/2020,2388,87,3.6432
Nigeria,5/9/2021,165382,2065,1.2486
Nigeria,5/9/2022,255766,3143,1.2289
Nigeria,5/9/2023,266675,3155,1.1831
Nigeria,6/1/2020,9855,273,2.7702
Nigeria,6/1/2021,166285,2071,1.2455
Nigeria,6/1/2022,256028,3143,1.2276
Nigeria,6/1/2023,266675,3155,1.1831
Nigeria,6/10/2020,12233,342,2.7957
Nigeria,6/10/2021,166756,2117,1.2695
Nigeria,6/10/2022,256148,3143,1.2270
Nigeria,6/10/2023,266675,3155,1.1831
Nigeria,6/11/2020,12233,342,2.7957
Nigeria,6/11/2021,166756,2117,1.2695
Nigeria,6/11/2022,256148,3143,1.2270
Nigeria,6/11/2023,266675,3155,1.1831
Nigeria,6/12/2020,12233,342,2.7957
Nigeria,6/12/2021,166756,2117,1.2695
Nigeria,6/12/2022,256352,3144,1.2264
Nigeria,6/12/2023,266675,3155,1.1831
Nigeria,6/13/2020,12233,342,2.7957
Nigeria,6/13/2021,167059,2117,1.2672
Nigeria,6/13/2022,256352,3144,1.2264
Nigeria,6/13/2023,266675,3155,1.1831
Nigeria,6/14/2020,15682,406,2.5890
Nigeria,6/14/2021,167059,2117,1.2672
Nigeria,6/14/2022,256352,3144,1.2264
Nigeria,6/14/2023,266675,3155,1.1831
Nigeria,6/15/2020,15682,406,2.5890
Nigeria,6/15/2021,167059,2117,1.2672
Nigeria,6/15/2022,256352,3144,1.2264
Nigeria,6/15/2023,266675,3155,1.1831
Nigeria,6/16/2020,15682,406,2.5890
Nigeria,6/16/2021,167059,2117,1.2672
Nigeria,6/16/2022,256352,3144,1.2264
Nigeria,6/16/2023,266675,3155,1.1831
Nigeria,6/17/2020,15682,406,2.5890
Nigeria,6/17/2021,167059,2117,1.2672
Nigeria,6/17/2022,256352,3144,1.2264
Nigeria,6/17/2023,266675,3155,1.1831
Nigeria,6/18/2020,15682,406,2.5890
Nigeria,6/18/2021,167059,2117,1.2672
Nigeria,6/18/2022,256352,3144,1.2264
Nigeria,6/18/2023,266675,3155,1.1831
Nigeria,6/19/2020,15682,406,2.5890
Nigeria,6/19/2021,167059,2117,1.2672
Nigeria,6/19/2022,256573,3144,1.2254
Nigeria,6/19/2023,266675,3155,1.1831
Nigeria,6/2/2020,9855,273,2.7702
Nigeria,6/2/2021,166285,2071,1.2455
Nigeria,6/2/2022,256028,3143,1.2276
Nigeria,6/2/2023,266675,3155,1.1831
Nigeria,6/20/2020,15682,406,2.5890
Nigeria,6/20/2021,167155,2117,1.2665
Nigeria,6/20/2022,256573,3144,1.2254
Nigeria,6/20/2023,266675,3155,1.1831
Nigeria,6/21/2020,19808,506,2.5545
Nigeria,6/21/2021,167155,2117,1.2665
Nigeria,6/21/2022,256573,3144,1.2254
Nigeria,6/21/2023,266675,3155,1.1831
Nigeria,6/22/2020,19808,506,2.5545
Nigeria,6/22/2021,167155,2117,1.2665
Nigeria,6/22/2022,256573,3144,1.2254
Nigeria,6/22/2023,266675,3155,1.1831
Nigeria,6/23/2020,19808,506,2.5545
Nigeria,6/23/2021,167155,2117,1.2665
Nigeria,6/23/2022,256573,3144,1.2254
Nigeria,6/23/2023,266675,3155,1.1831
Nigeria,6/24/2020,19808,506,2.5545
Nigeria,6/24/2021,167155,2117,1.2665
Nigeria,6/24/2022,256573,3144,1.2254
Nigeria,6/24/2023,266675,3155,1.1831
Nigeria,6/25/2020,19808,506,2.5545
Nigeria,6/25/2021,167155,2117,1.2665
Nigeria,6/25/2022,256573,3144,1.2254
Nigeria,6/25/2023,266675,3155,1.1831
Nigeria,6/26/2020,19808,506,2.5545
Nigeria,6/26/2021,167155,2117,1.2665
Nigeria,6/26/2022,256958,3144,1.2235
Nigeria,6/26/2023,266675,3155,1.1831
Nigeria,6/27/2020,19808,506,2.5545
Nigeria,6/27/2021,167465,2119,1.2653
Nigeria,6/27/2022,256958,3144,1.2235
Nigeria,6/27/2023,266675,3155,1.1831
Nigeria,6/28/2020,24077,558,2.3176
Nigeria,6/28/2021,167465,2119,1.2653
Nigeria,6/28/2022,256958,3144,1.2235
Nigeria,6/28/2023,266675,3155,1.1831
Nigeria,6/29/2020,24077,558,2.3176
Nigeria,6/29/2021,167465,2119,1.2653
Nigeria,6/29/2022,256958,3144,1.2235
Nigeria,6/29/2023,266675,3155,1.1831
Nigeria,6/3/2020,9855,273,2.7702
Nigeria,6/3/2021,166285,2071,1.2455
Nigeria,6/3/2022,256028,3143,1.2276
Nigeria,6/3/2023,266675,3155,1.1831
Nigeria,6/30/2020,24077,558,2.3176
Nigeria,6/30/2021,167465,2119,1.2653
Nigeria,6/30/2022,256958,3144,1.2235
Nigeria,6/30/2023,266675,3155,1.1831
Nigeria,6/4/2020,9855,273,2.7702
Nigeria,6/4/2021,166285,2071,1.2455
Nigeria,6/4/2022,256028,3143,1.2276
Nigeria,6/4/2023,266675,3155,1.1831
Nigeria,6/5/2020,9855,273,2.7702
Nigeria,6/5/2021,166285,2071,1.2455
Nigeria,6/5/2022,256148,3143,1.2270
Nigeria,6/5/2023,266675,3155,1.1831
Nigeria,6/6/2020,9855,273,2.7702
Nigeria,6/6/2021,166756,2117,1.2695
Nigeria,6/6/2022,256148,3143,1.2270
Nigeria,6/6/2023,266675,3155,1.1831
Nigeria,6/7/2020,12233,342,2.7957
Nigeria,6/7/2021,166756,2117,1.2695
Nigeria,6/7/2022,256148,3143,1.2270
Nigeria,6/7/2023,266675,3155,1.1831
Nigeria,6/8/2020,12233,342,2.7957
Nigeria,6/8/2021,166756,2117,1.2695
Nigeria,6/8/2022,256148,3143,1.2270
Nigeria,6/8/2023,266675,3155,1.1831
Nigeria,6/9/2020,12233,342,2.7957
Nigeria,6/9/2021,166756,2117,1.2695
Nigeria,6/9/2022,256148,3143,1.2270
Nigeria,6/9/2023,266675,3155,1.1831
Nigeria,7/1/2020,24077,558,2.3176
Nigeria,7/1/2021,167465,2119,1.2653
Nigeria,7/1/2022,256958,3144,1.2235
Nigeria,7/1/2023,266675,3155,1.1831
Nigeria,7/10/2020,28167,634,2.2509
Nigeria,7/10/2021,167803,2121,1.2640
Nigeria,7/10/2022,258517,3144,1.2162
Nigeria,7/10/2023,266675,3155,1.1831
Nigeria,7/11/2020,28167,634,2.2509
Nigeria,7/11/2021,168540,2122,1.2590
Nigeria,7/11/2022,258517,3144,1.2162
Nigeria,7/11/2023,266675,3155,1.1831
Nigeria,7/12/2020,31987,724,2.2634
Nigeria,7/12/2021,168540,2122,1.2590
Nigeria,7/12/2022,258517,3144,1.2162
Nigeria,7/12/2023,266675,3155,1.1831
Nigeria,7/13/2020,31987,724,2.2634
Nigeria,7/13/2021,168540,2122,1.2590
Nigeria,7/13/2022,258517,3144,1.2162
Nigeria,7/13/2023,266675,3155,1.1831
Nigeria,7/14/2020,31987,724,2.2634
Nigeria,7/14/2021,168540,2122,1.2590
Nigeria,7/14/2022,258517,3144,1.2162
Nigeria,7/14/2023,266675,3155,1.1831
Nigeria,7/15/2020,31987,724,2.2634
Nigeria,7/15/2021,168540,2122,1.2590
Nigeria,7/15/2022,258517,3144,1.2162
Nigeria,7/15/2023,266675,3155,1.1831
Nigeria,7/16/2020,31987,724,2.2634
Nigeria,7/16/2021,168540,2122,1.2590
Nigeria,7/16/2022,258517,3144,1.2162
Nigeria,7/16/2023,266675,3155,1.1831
Nigeria,7/17/2020,31987,724,2.2634
Nigeria,7/17/2021,168540,2122,1.2590
Nigeria,7/17/2022,259007,3144,1.2139
Nigeria,7/17/2023,266675,3155,1.1831
Nigeria,7/18/2020,31987,724,2.2634
Nigeria,7/18/2021,169329,2126,1.2555
Nigeria,7/18/2022,259007,3144,1.2139
Nigeria,7/18/2023,266675,3155,1.1831
Nigeria,7/19/2020,36107,778,2.1547
Nigeria,7/19/2021,169329,2126,1.2555
Nigeria,7/19/2022,259007,3144,1.2139
Nigeria,7/19/2023,266675,3155,1.1831
Nigeria,7/2/2020,24077,558,2.3176
Nigeria,7/2/2021,167465,2119,1.2653
Nigeria,7/2/2022,256958,3144,1.2235
Nigeria,7/2/2023,266675,3155,1.1831
Nigeria,7/20/2020,36107,778,2.1547
Nigeria,7/20/2021,169329,2126,1.2555
Nigeria,7/20/2022,259007,3144,1.2139
Nigeria,7/20/2023,266675,3155,1.1831
Nigeria,7/21/2020,36107,778,2.1547
Nigeria,7/21/2021,169329,2126,1.2555
Nigeria,7/21/2022,259007,3144,1.2139
Nigeria,7/21/2023,266675,3155,1.1831
Nigeria,7/22/2020,36107,778,2.1547
Nigeria,7/22/2021,169329,2126,1.2555
Nigeria,7/22/2022,259007,3144,1.2139
Nigeria,7/22/2023,266675,3155,1.1831
Nigeria,7/23/2020,36107,778,2.1547
Nigeria,7/23/2021,169329,2126,1.2555
Nigeria,7/23/2022,259007,3144,1.2139
Nigeria,7/23/2023,266675,3155,1.1831
Nigeria,7/24/2020,36107,778,2.1547
Nigeria,7/24/2021,169329,2126,1.2555
Nigeria,7/24/2022,259485,3146,1.2124
Nigeria,7/24/2023,266675,3155,1.1831
Nigeria,7/25/2020,36107,778,2.1547
Nigeria,7/25/2021,170895,2132,1.2475
Nigeria,7/25/2022,259485,3146,1.2124
Nigeria,7/25/2023,266675,3155,1.1831
Nigeria,7/26/2020,39977,856,2.1412
Nigeria,7/26/2021,170895,2132,1.2475
Nigeria,7/26/2022,259485,3146,1.2124
Nigeria,7/26/2023,266675,3155,1.1831
Nigeria,7/27/2020,39977,856,2.1412
Nigeria,7/27/2021,170895,2132,1.2475
Nigeria,7/27/2022,259485,3146,1.2124
Nigeria,7/27/2023,266675,3155,1.1831
Nigeria,7/28/2020,39977,856,2.1412
Nigeria,7/28/2021,170895,2132,1.2475
Nigeria,7/28/2022,259485,3146,1.2124
Nigeria,7/28/2023,266675,3155,1.1831
Nigeria,7/29/2020,39977,856,2.1412
Nigeria,7/29/2021,170895,2132,1.2475
Nigeria,7/29/2022,259485,3146,1.2124
Nigeria,7/29/2023,266675,3155,1.1831
Nigeria,7/3/2020,24077,558,2.3176
Nigeria,7/3/2021,167465,2119,1.2653
Nigeria,7/3/2022,257637,3144,1.2203
Nigeria,7/3/2023,266675,3155,1.1831
Nigeria,7/30/2020,39977,856,2.1412
Nigeria,7/30/2021,170895,2132,1.2475
Nigeria,7/30/2022,259485,3146,1.2124
Nigeria,7/30/2023,266675,3155,1.1831
Nigeria,7/31/2020,39977,856,2.1412
Nigeria,7/31/2021,170895,2132,1.2475
Nigeria,7/31/2022,260977,3147,1.2059
Nigeria,7/31/2023,266675,3155,1.1831
Nigeria,7/4/2020,24077,558,2.3176
Nigeria,7/4/2021,167803,2121,1.2640
Nigeria,7/4/2022,257637,3144,1.2203
Nigeria,7/4/2023,266675,3155,1.1831
Nigeria,7/5/2020,28167,634,2.2509
Nigeria,7/5/2021,167803,2121,1.2640
Nigeria,7/5/2022,257637,3144,1.2203
Nigeria,7/5/2023,266675,3155,1.1831
Nigeria,7/6/2020,28167,634,2.2509
Nigeria,7/6/2021,167803,2121,1.2640
Nigeria,7/6/2022,257637,3144,1.2203
Nigeria,7/6/2023,266675,3155,1.1831
Nigeria,7/7/2020,28167,634,2.2509
Nigeria,7/7/2021,167803,2121,1.2640
Nigeria,7/7/2022,257637,3144,1.2203
Nigeria,7/7/2023,266675,3155,1.1831
Nigeria,7/8/2020,28167,634,2.2509
Nigeria,7/8/2021,167803,2121,1.2640
Nigeria,7/8/2022,257637,3144,1.2203
Nigeria,7/8/2023,266675,3155,1.1831
Nigeria,7/9/2020,28167,634,2.2509
Nigeria,7/9/2021,167803,2121,1.2640
Nigeria,7/9/2022,257637,3144,1.2203
Nigeria,7/9/2023,266675,3155,1.1831
Nigeria,8/1/2020,39977,856,2.1412
Nigeria,8/1/2021,173908,2149,1.2357
Nigeria,8/1/2022,260977,3147,1.2059
Nigeria,8/1/2023,266675,3155,1.1831
Nigeria,8/10/2020,46140,942,2.0416
Nigeria,8/10/2021,177615,2185,1.2302
Nigeria,8/10/2022,261885,3147,1.2017
Nigeria,8/10/2023,266675,3155,1.1831
Nigeria,8/11/2020,46140,942,2.0416
Nigeria,8/11/2021,177615,2185,1.2302
Nigeria,8/11/2022,261885,3147,1.2017
Nigeria,8/11/2023,266675,3155,1.1831
Nigeria,8/12/2020,46140,942,2.0416
Nigeria,8/12/2021,177615,2185,1.2302
Nigeria,8/12/2022,261885,3147,1.2017
Nigeria,8/12/2023,266675,3155,1.1831
Nigeria,8/13/2020,46140,942,2.0416
Nigeria,8/13/2021,177615,2185,1.2302
Nigeria,8/13/2022,261885,3147,1.2017
Nigeria,8/13/2023,267036,3155,1.1815
Nigeria,8/14/2020,46140,942,2.0416
Nigeria,8/14/2021,177615,2185,1.2302
Nigeria,8/14/2022,262520,3147,1.1988
Nigeria,8/14/2023,267036,3155,1.1815
Nigeria,8/15/2020,46140,942,2.0416
Nigeria,8/15/2021,181962,2219,1.2195
Nigeria,8/15/2022,262520,3147,1.1988
Nigeria,8/15/2023,267036,3155,1.1815
Nigeria,8/16/2020,48770,974,1.9971
Nigeria,8/16/2021,181962,2219,1.2195
Nigeria,8/16/2022,262520,3147,1.1988
Nigeria,8/16/2023,267036,3155,1.1815
Nigeria,8/17/2020,48770,974,1.9971
Nigeria,8/17/2021,181962,2219,1.2195
Nigeria,8/17/2022,262520,3147,1.1988
Nigeria,8/17/2023,267036,3155,1.1815
Nigeria,8/18/2020,48770,974,1.9971
Nigeria,8/18/2021,181962,2219,1.2195
Nigeria,8/18/2022,262520,3147,1.1988
Nigeria,8/18/2023,267036,3155,1.1815
Nigeria,8/19/2020,48770,974,1.9971
Nigeria,8/19/2021,181962,2219,1.2195
Nigeria,8/19/2022,262520,3147,1.1988
Nigeria,8/19/2023,267036,3155,1.1815
Nigeria,8/2/2020,43537,883,2.0282
Nigeria,8/2/2021,173908,2149,1.2357
Nigeria,8/2/2022,260977,3147,1.2059
Nigeria,8/2/2023,266675,3155,1.1831
Nigeria,8/20/2020,48770,974,1.9971
Nigeria,8/20/2021,181962,2219,1.2195
Nigeria,8/20/2022,262520,3147,1.1988
Nigeria,8/20/2023,267041,3155,1.1815
Nigeria,8/21/2020,48770,974,1.9971
Nigeria,8/21/2021,181962,2219,1.2195
Nigeria,8/21/2022,262912,3147,1.1970
Nigeria,8/21/2023,267041,3155,1.1815
Nigeria,8/22/2020,48770,974,1.9971
Nigeria,8/22/2021,186635,2260,1.2109
Nigeria,8/22/2022,262912,3147,1.1970
Nigeria,8/22/2023,267041,3155,1.1815
Nigeria,8/23/2020,51905,997,1.9208
Nigeria,8/23/2021,186635,2260,1.2109
Nigeria,8/23/2022,262912,3147,1.1970
Nigeria,8/23/2023,267041,3155,1.1815
Nigeria,8/24/2020,51905,997,1.9208
Nigeria,8/24/2021,186635,2260,1.2109
Nigeria,8/24/2022,262912,3147,1.1970
Nigeria,8/24/2023,267041,3155,1.1815
Nigeria,8/25/2020,51905,997,1.9208
Nigeria,8/25/2021,186635,2260,1.2109
Nigeria,8/25/2022,262912,3147,1.1970
Nigeria,8/25/2023,267041,3155,1.1815
Nigeria,8/26/2020,51905,997,1.9208
Nigeria,8/26/2021,186635,2260,1.2109
Nigeria,8/26/2022,262912,3147,1.1970
Nigeria,8/26/2023,267041,3155,1.1815
Nigeria,8/27/2020,51905,997,1.9208
Nigeria,8/27/2021,186635,2260,1.2109
Nigeria,8/27/2022,262912,3147,1.1970
Nigeria,8/27/2023,267051,3155,1.1814
Nigeria,8/28/2020,51905,997,1.9208
Nigeria,8/28/2021,186635,2260,1.2109
Nigeria,8/28/2022,263407,3148,1.1951
Nigeria,8/28/2023,267051,3155,1.1814
Nigeria,8/29/2020,51905,997,1.9208
Nigeria,8/29/2021,190983,2361,1.2362
Nigeria,8/29/2022,263407,3148,1.1951
Nigeria,8/29/2023,267051,3155,1.1814
Nigeria,8/3/2020,43537,883,2.0282
Nigeria,8/3/2021,173908,2149,1.2357
Nigeria,8/3/2022,260977,3147,1.2059
Nigeria,8/3/2023,266675,3155,1.1831
Nigeria,8/30/2020,53727,1011,1.8817
Nigeria,8/30/2021,190983,2361,1.2362
Nigeria,8/30/2022,263407,3148,1.1951
Nigeria,8/30/2023,267051,3155,1.1814
Nigeria,8/31/2020,53727,1011,1.8817
Nigeria,8/31/2021,190983,2361,1.2362
Nigeria,8/31/2022,263407,3148,1.1951
Nigeria,8/31/2023,267051,3155,1.1814
Nigeria,8/4/2020,43537,883,2.0282
Nigeria,8/4/2021,173908,2149,1.2357
Nigeria,8/4/2022,260977,3147,1.2059
Nigeria,8/4/2023,266675,3155,1.1831
Nigeria,8/5/2020,43537,883,2.0282
Nigeria,8/5/2021,173908,2149,1.2357
Nigeria,8/5/2022,260977,3147,1.2059
Nigeria,8/5/2023,266675,3155,1.1831
Nigeria,8/6/2020,43537,883,2.0282
Nigeria,8/6/2021,173908,2149,1.2357
Nigeria,8/6/2022,260977,3147,1.2059
Nigeria,8/6/2023,266675,3155,1.1831
Nigeria,8/7/2020,43537,883,2.0282
Nigeria,8/7/2021,173908,2149,1.2357
Nigeria,8/7/2022,261885,3147,1.2017
Nigeria,8/7/2023,266675,3155,1.1831
Nigeria,8/8/2020,43537,883,2.0282
Nigeria,8/8/2021,177615,2185,1.2302
Nigeria,8/8/2022,261885,3147,1.2017
Nigeria,8/8/2023,266675,3155,1.1831
Nigeria,8/9/2020,46140,942,2.0416
Nigeria,8/9/2021,177615,2185,1.2302
Nigeria,8/9/2022,261885,3147,1.2017
Nigeria,8/9/2023,266675,3155,1.1831
Nigeria,9/1/2020,53727,1011,1.8817
Nigeria,9/1/2021,190983,2361,1.2362
Nigeria,9/1/2022,263407,3148,1.1951
Nigeria,9/1/2023,267051,3155,1.1814
Nigeria,9/10/2020,54905,1054,1.9197
Nigeria,9/10/2021,195052,2522,1.2930
Nigeria,9/10/2022,263867,3148,1.1930
Nigeria,9/10/2023,267118,3155,1.1811
Nigeria,9/11/2020,54905,1054,1.9197
Nigeria,9/11/2021,195052,2522,1.2930
Nigeria,9/11/2022,264450,3154,1.1927
Nigeria,9/11/2023,267118,3155,1.1811
Nigeria,9/12/2020,54905,1054,1.9197
Nigeria,9/12/2021,198786,2590,1.3029
Nigeria,9/12/2022,264450,3154,1.1927
Nigeria,9/12/2023,267118,3155,1.1811
Nigeria,9/13/2020,56177,1078,1.9189
Nigeria,9/13/2021,198786,2590,1.3029
Nigeria,9/13/2022,264450,3154,1.1927
Nigeria,9/13/2023,267118,3155,1.1811
Nigeria,9/14/2020,56177,1078,1.9189
Nigeria,9/14/2021,198786,2590,1.3029
Nigeria,9/14/2022,264450,3154,1.1927
Nigeria,9/14/2023,267118,3155,1.1811
Nigeria,9/15/2020,56177,1078,1.9189
Nigeria,9/15/2021,198786,2590,1.3029
Nigeria,9/15/2022,264450,3154,1.1927
Nigeria,9/15/2023,267118,3155,1.1811
Nigeria,9/16/2020,56177,1078,1.9189
Nigeria,9/16/2021,198786,2590,1.3029
Nigeria,9/16/2022,264450,3154,1.1927
Nigeria,9/16/2023,267118,3155,1.1811
Nigeria,9/17/2020,56177,1078,1.9189
Nigeria,9/17/2021,198786,2590,1.3029
Nigeria,9/17/2022,264450,3154,1.1927
Nigeria,9/17/2023,267133,3155,1.1811
Nigeria,9/18/2020,56177,1078,1.9189
Nigeria,9/18/2021,198786,2590,1.3029
Nigeria,9/18/2022,264933,3155,1.1909
Nigeria,9/18/2023,267133,3155,1.1811
Nigeria,9/19/2020,56177,1078,1.9189
Nigeria,9/19/2021,201630,2654,1.3163
Nigeria,9/19/2022,264933,3155,1.1909
Nigeria,9/19/2023,267133,3155,1.1811
Nigeria,9/2/2020,53727,1011,1.8817
Nigeria,9/2/2021,190983,2361,1.2362
Nigeria,9/2/2022,263407,3148,1.1951
Nigeria,9/2/2023,267051,3155,1.1814
Nigeria,9/20/2020,57145,1095,1.9162
Nigeria,9/20/2021,201630,2654,1.3163
Nigeria,9/20/2022,264933,3155,1.1909
Nigeria,9/20/2023,267133,3155,1.1811
Nigeria,9/21/2020,57145,1095,1.9162
Nigeria,9/21/2021,201630,2654,1.3163
Nigeria,9/21/2022,264933,3155,1.1909
Nigeria,9/21/2023,267133,3155,1.1811
Nigeria,9/22/2020,57145,1095,1.9162
Nigeria,9/22/2021,201630,2654,1.3163
Nigeria,9/22/2022,264933,3155,1.1909
Nigeria,9/22/2023,267133,3155,1.1811
Nigeria,9/23/2020,57145,1095,1.9162
Nigeria,9/23/2021,201630,2654,1.3163
Nigeria,9/23/2022,264933,3155,1.1909
Nigeria,9/23/2023,267133,3155,1.1811
Nigeria,9/24/2020,57145,1095,1.9162
Nigeria,9/24/2021,201630,2654,1.3163
Nigeria,9/24/2022,264933,3155,1.1909
Nigeria,9/24/2023,267138,3155,1.1810
Nigeria,9/25/2020,57145,1095,1.9162
Nigeria,9/25/2021,201630,2654,1.3163
Nigeria,9/25/2022,265186,3155,1.1897
Nigeria,9/25/2023,267138,3155,1.1810
Nigeria,9/26/2020,57145,1095,1.9162
Nigeria,9/26/2021,204201,2674,1.3095
Nigeria,9/26/2022,265186,3155,1.1897
Nigeria,9/26/2023,267138,3155,1.1810
Nigeria,9/27/2020,58198,1106,1.9004
Nigeria,9/27/2021,204201,2674,1.3095
Nigeria,9/27/2022,265186,3155,1.1897
Nigeria,9/27/2023,267138,3155,1.1810
Nigeria,9/28/2020,58198,1106,1.9004
Nigeria,9/28/2021,204201,2674,1.3095
Nigeria,9/28/2022,265186,3155,1.1897
Nigeria,9/28/2023,267138,3155,1.1810
Nigeria,9/29/2020,58198,1106,1.9004
Nigeria,9/29/2021,204201,2674,1.3095
Nigeria,9/29/2022,265186,3155,1.1897
Nigeria,9/29/2023,267138,3155,1.1810
Nigeria,9/3/2020,53727,1011,1.8817
Nigeria,9/3/2021,190983,2361,1.2362
Nigeria,9/3/2022,263407,3148,1.1951
Nigeria,9/3/2023,267093,3155,1.1812
Nigeria,9/30/2020,58198,1106,1.9004
Nigeria,9/30/2021,204201,2674,1.3095
Nigeria,9/30/2022,265186,3155,1.1897
Nigeria,9/30/2023,267138,3155,1.1810
Nigeria,9/4/2020,53727,1011,1.8817
Nigeria,9/4/2021,190983,2361,1.2362
Nigeria,9/4/2022,263867,3148,1.1930
Nigeria,9/4/2023,267093,3155,1.1812
Nigeria,9/5/2020,53727,1011,1.8817
Nigeria,9/5/2021,195052,2522,1.2930
Nigeria,9/5/2022,263867,3148,1.1930
Nigeria,9/5/2023,267093,3155,1.1812
Nigeria,9/6/2020,54905,1054,1.9197
Nigeria,9/6/2021,195052,2522,1.2930
Nigeria,9/6/2022,263867,3148,1.1930
Nigeria,9/6/2023,267093,3155,1.1812
Nigeria,9/7/2020,54905,1054,1.9197
Nigeria,9/7/2021,195052,2522,1.2930
Nigeria,9/7/2022,263867,3148,1.1930
Nigeria,9/7/2023,267093,3155,1.1812
Nigeria,9/8/2020,54905,1054,1.9197
Nigeria,9/8/2021,195052,2522,1.2930
Nigeria,9/8/2022,263867,3148,1.1930
Nigeria,9/8/2023,267093,3155,1.1812
Nigeria,9/9/2020,54905,1054,1.9197
Nigeria,9/9/2021,195052,2522,1.2930
Nigeria,9/9/2022,263867,3148,1.1930
Nigeria,9/9/2023,267093,3155,1.1812
